Timestamp,Voltage (V),Current (A),Temperature,Mode
2023-11-15 19:52:53,3.17,0.57,23.52,Discharging
2023-11-15 19:52:42,3.17,0.58,23.73,Discharging
2023-11-15 19:52:31,3.17,0.58,23.68,Discharging
2023-11-15 19:52:20,3.17,0.58,23.43,Discharging
2023-11-15 19:52:09,3.17,0.57,23.45,Discharging
2023-11-15 19:51:58,3.17,0.57,23.77,Discharging
2023-11-15 19:51:46,3.17,0.58,23.7,Discharging
2023-11-15 19:51:35,3.17,0.57,23.48,Discharging
2023-11-15 19:51:24,3.17,0.57,23.67,Discharging
2023-11-15 19:51:13,3.17,0.58,23.76,Discharging
2023-11-15 19:51:02,3.18,0.58,23.43,Discharging
2023-11-15 19:50:51,3.18,0.57,23.57,Discharging
2023-11-15 19:50:40,3.18,0.57,23.65,Discharging
2023-11-15 19:50:29,3.18,0.58,23.66,Discharging
2023-11-15 19:50:17,3.18,0.58,23.52,Discharging
2023-11-15 19:50:06,3.18,0.57,23.5,Discharging
2023-11-15 19:49:55,3.18,0.59,23.54,Discharging
2023-11-15 19:49:44,3.18,0.57,23.82,Discharging
2023-11-15 19:49:33,3.18,0.57,23.64,Discharging
2023-11-15 19:49:22,3.18,0.57,23.72,Discharging
2023-11-15 19:49:11,3.18,0.57,23.81,Discharging
2023-11-15 19:49:00,3.18,0.57,23.76,Discharging
2023-11-15 19:48:49,3.18,0.59,23.7,Discharging
2023-11-15 19:48:37,3.18,0.58,23.76,Discharging
2023-11-15 19:48:26,3.18,0.57,23.58,Discharging
2023-11-15 19:48:15,3.18,0.57,23.72,Discharging
2023-11-15 19:48:04,3.18,0.58,23.66,Discharging
2023-11-15 19:47:53,3.18,0.57,23.51,Discharging
2023-11-15 19:47:42,3.18,0.57,23.65,Discharging
2023-11-15 19:47:31,3.18,0.57,23.76,Discharging
2023-11-15 19:47:20,3.18,0.58,23.66,Discharging
2023-11-15 19:47:08,3.18,0.58,23.54,Discharging
2023-11-15 19:46:57,3.18,0.57,23.45,Discharging
2023-11-15 19:46:46,3.18,0.58,23.86,Discharging
2023-11-15 19:46:35,3.18,0.58,23.61,Discharging
2023-11-15 19:46:24,3.18,0.58,23.64,Discharging
2023-11-15 19:46:13,3.18,0.59,23.79,Discharging
2023-11-15 19:46:02,3.18,0.57,23.72,Discharging
2023-11-15 19:45:51,3.18,0.58,23.62,Discharging
2023-11-15 19:45:40,3.18,0.58,23.65,Discharging
2023-11-15 19:45:28,3.18,0.58,23.61,Discharging
2023-11-15 19:45:17,3.18,0.58,23.59,Discharging
2023-11-15 19:45:06,3.18,0.58,23.55,Discharging
2023-11-15 19:44:55,3.18,0.58,23.61,Discharging
2023-11-15 19:44:44,3.18,0.57,23.61,Discharging
2023-11-15 19:44:33,3.18,0.57,23.64,Discharging
2023-11-15 19:44:22,3.18,0.58,23.61,Discharging
2023-11-15 19:44:11,3.18,0.58,23.66,Discharging
2023-11-15 19:43:59,3.18,0.57,23.68,Discharging
2023-11-15 19:43:48,3.18,0.58,23.39,Discharging
2023-11-15 19:43:37,3.18,0.58,23.6,Discharging
2023-11-15 19:43:26,3.18,0.58,23.69,Discharging
2023-11-15 19:43:15,3.18,0.58,23.7,Discharging
2023-11-15 19:43:04,3.18,0.57,23.62,Discharging
2023-11-15 19:42:53,3.18,0.57,23.65,Discharging
2023-11-15 19:42:42,3.18,0.57,23.72,Discharging
2023-11-15 19:42:31,3.18,0.58,23.62,Discharging
2023-11-15 19:42:19,3.18,0.58,23.82,Discharging
